location,population_density
Afghanistan,54.42199999999999
Albania,104.87099999999965
Algeria,17.347999999999963
Andorra,163.75500000000008
Angola,23.889999999999976
Argentina,16.177000000000014
Australia,3.2019999999999986
Austria,106.74899999999982
Azerbaijan,119.30900000000021
Bahrain,1935.9070000000054
Bangladesh,1265.0359999999953
Barbados,664.4630000000021
Belarus,46.85800000000013
Belgium,375.5639999999989
Belize,16.42599999999997
Benin,99.11000000000017
Bhutan,21.188000000000066
Bolivia,10.202
Bosnia and Herzegovina,68.49599999999991
Botswana,4.043999999999993
Brazil,25.039999999999967
Brunei,81.34699999999987
Bulgaria,65.18000000000015
Burkina Faso,70.15099999999988
Burundi,423.0619999999997
Cambodia,90.67199999999991
Cameroon,50.885000000000154
Canada,4.03700000000001
Central African Republic,7.47900000000002
Chad,11.833000000000027
Chile,24.282000000000053
China,147.67399999999975
Colombia,44.22299999999996
Congo,15.404999999999998
Democratic Republic of Congo,35.87899999999993
Costa Rica,96.07899999999982
Cote d'Ivoire,76.39899999999993
Croatia,73.72600000000021
Cuba,110.40799999999979
Cyprus,127.65699999999963
Denmark,136.52000000000038
Djibouti,41.28499999999992
Dominica,98.56699999999965
Dominican Republic,222.87299999999965
Ecuador,66.93900000000019
Egypt,97.99899999999982
El Salvador,307.81100000000083
Eritrea,44.304000000000066
Estonia,31.033000000000104
Ethiopia,104.95700000000024
Fiji,49.56199999999992
Finland,18.135999999999974
France,122.57800000000046
Gabon,7.8590000000000035
Gambia,207.56599999999966
Georgia,65.03199999999973
Germany,237.01600000000104
Ghana,126.71899999999975
Greece,83.47899999999969
Guatemala,157.83399999999992
Guinea,51.75500000000009
Guyana,3.951999999999999
Haiti,398.4479999999988
Honduras,82.80500000000016
Hungary,108.04299999999982
Iceland,3.403999999999997
India,450.4189999999989
Indonesia,145.72499999999945
Iran,49.831000000000095
Iraq,88.125
Ireland,69.87399999999982
Israel,402.6059999999998
Italy,205.8589999999993
Jamaica,266.87900000000064
Japan,347.77799999999996
Jordan,109.28499999999988
Kazakhstan,6.681000000000016
Kenya,87.3240000000001
South Korea,527.9670000000011
Kosovo,168.1549999999998
Kuwait,232.1279999999992
Laos,29.715000000000057
Latvia,31.212000000000078
Lebanon,594.5610000000013
Lesotho,73.56199999999991
Liberia,49.12700000000015
Libya,3.6229999999999936
Lithuania,45.13500000000017
Luxembourg,231.4470000000001
Madagascar,43.951000000000015
Malawi,197.5190000000002
Malaysia,96.25400000000047
Mali,15.195999999999966
Mauritania,4.28899999999999
Mauritius,622.9619999999996
Mexico,66.44399999999989
Moldova,123.6550000000001
Mongolia,1.979999999999998
Morocco,80.07999999999994
Mozambique,37.728000000000044
Namibia,3.0779999999999905
Nepal,204.43000000000026
Netherlands,508.54399999999833
New Zealand,18.206000000000042
Nicaragua,51.66700000000014
Niger,16.954999999999966
Nigeria,209.58800000000073
Norway,14.46199999999999
Oman,14.980000000000016
Pakistan,255.57299999999879
Panama,55.13299999999987
Papua New Guinea,18.219999999999978
Paraguay,17.143999999999952
Peru,25.128999999999934
Philippines,351.8730000000007
Poland,124.02699999999976
Portugal,112.3709999999996
Qatar,227.3220000000001
Romania,85.12900000000042
Russia,8.823000000000036
Rwanda,494.8689999999998
San Marino,556.667000000001
Saudi Arabia,15.32199999999997
Senegal,82.32799999999995
Serbia,80.29099999999978
Seychelles,208.35399999999956
Sierra Leone,104.70000000000022
Singapore,7915.730999999977
Slovenia,102.61900000000023
Somalia,23.5
South Africa,46.75399999999996
South Sudan,
Spain,93.10499999999966
Sri Lanka,341.95500000000135
Sudan,23.25799999999994
Suriname,3.6120000000000094
Sweden,24.71799999999992
Switzerland,214.2430000000003
Syria,
Taiwan,
Tajikistan,64.28099999999996
Tanzania,64.69899999999993
Thailand,135.1320000000005
Togo,143.3660000000005
Trinidad and Tobago,266.88599999999934
Tunisia,74.22799999999981
Turkey,104.91400000000027
United States,35.60800000000012
Uganda,213.7589999999992
Ukraine,77.38999999999993
United Arab Emirates,112.4419999999994
United Kingdom,272.89800000000065
Uruguay,19.751000000000047
Uzbekistan,76.134
Venezuela,36.25299999999998
Vietnam,308.12700000000007
Yemen,53.50799999999988
Zambia,22.994999999999926
Zimbabwe,42.72900000000003
